y,x_1,y2
-9.71903E-05,0.001,0.0009
-0.000350178,0.00090281,0.0006
0.000143533,0.000552632,0.0007
0.000352539,0.000696165,0.0010
0.000396579,0.001048704,0.0014
0.000722692,0.001445282,0.0022
-0.001848298,0.002167974,0.0003
0.00012961,0.000319676,0.0004
0.000279325,0.000449287,0.0007
-0.000192502,0.000728612,0.0005
-1.3058E-05,0.00053611,0.0005
-0.000173108,0.000523052,0.0003
-5.66998E-05,0.000349944,0.0003
6.93329E-05,0.000293244,0.0004
5.52782E-05,0.000362577,0.0004
-0.000148082,0.000417855,0.0003
0.00011645,0.000269773,0.0004
8.89837E-05,0.000386224,0.0005
0.000138351,0.000475207,0.0006
1.55079E-05,0.000613558,0.0006
1.78811E-05,0.000629066,0.0006
3.0097E-06,0.000646947,0.0006
0.000357243,0.000649957,0.0010
-2.94342E-05,0.0010072,0.0010
-5.38717E-05,0.000977766,0.0009
-0.00013593,0.000923895,0.0008
0.000546635,0.000787964,0.0013
0.000302968,0.001334599,0.0016
5.97655E-05,0.001637567,0.0017
-0.000524725,0.001697333,0.0012
0.00059567,0.001172607,0.0018
-0.001118133,0.001768277,0.0007
0.000190537,0.000650144,0.0008
0.000279877,0.000840681,0.0011
0.000671936,0.001120558,0.0018
-0.00022857,0.001792493,0.0016
-0.000396932,0.001563923,0.0012
0.000218977,0.001166991,0.0014
-0.00026015,0.001385968,0.0011
0.000249035,0.001125818,0.0014
-0.000735222,0.001374853,0.0006
-9.17721E-05,0.000639631,0.0005
-0.000162984,0.000547859,0.0004
9.44495E-05,0.000384875,0.0005
0.000112226,0.000479325,0.0006
9.71943E-05,0.00059155,0.0007
-1.02318E-06,0.000688745,0.0007
0.000552708,0.000687722,0.0012
-0.000759619,0.00124043,0.0005
4.76211E-06,0.000480811,0.0005
0.001790609,0.000485573,0.0023
0.002708616,0.002276183,0.0050
-0.002023191,0.004984798,0.0030
0.00336206,0.002961607,0.0063
0.001650406,0.006323668,0.0080
0.000921559,0.007974074,0.0089
0.002232894,0.008895632,0.0111
0.001359537,0.011128526,0.0125
-0.008035193,0.012488063,0.0045
-0.001391014,0.004452869,0.0031
0.001386741,0.003061855,0.0044
0.000851447,0.004448596,0.0053
0.001923822,0.005300043,0.0072
-0.002222317,0.007223865,0.0050
,,
